stride,portion,array_size,throughput
5,24,23529360,2024109922.613903
5,25,23529375,968758641.178018
5,26,23529350,1185265584.55398
5,27,23529285,887349929.854835
5,28,23529380,1642264561.003636
5,29,23529295,1090038416.423801
5,30,23529300,1217497837.116966
5,31,23529310,1097183524.760973
5,32,23529280,4149053924.806874
6,1,23529408,1581116929.968185
6,2,23529408,1308753506.984856
6,3,23529402,1664021075.71939
6,4,23529408,1768550701.348961
6,5,23529390,1751467821.181393
6,6,23529384,1729247368.58598
6,7,23529408,1598046779.384224
6,8,23529408,1403572396.677481
6,9,23529366,1759206724.520878
6,10,23529360,1813291189.859674
6,11,23529396,1805885568.210052
6,12,23529384,1807784184.443675
6,13,23529402,1787761910.568235
6,14,23529408,1814558156.844645
6,15,23529330,1783750277.224976
6,16,23529408,4035885338.807412
6,17,23529360,1591340204.909188
6,18,23529312,1505069952.779592
6,19,23529372,1006641579.843242
6,20,23529360,1350589411.066957
6,21,23529366,886378895.876057
6,22,23529396,1105565120.531688
6,23,23529276,951066314.463165
6,24,23529312,2191896593.512084
6,25,23529300,837974600.685012
6,26,23529324,1147243379.621327
6,27,23529366,974034880.537143
6,28,23529408,1416525857.540473
6,29,23529324,1123555578.43562
6,30,23529240,1202001769.213036
6,31,23529372,1069337361.113407
6,32,23529408,4131445983.054297
7,1,23529408,1226439422.68929
7,2,23529408,1352651192.335325
7,3,23529408,1387728519.220059
7,4,23529408,1737137578.760889
7,5,23529380,1661943821.332209
7,6,23529408,1539374230.69103
7,7,23529408,1558876835.870322
7,8,23529408,1485730278.280081
7,9,23529366,1744242559.623348
7,10,23529380,1811127451.322675
7,11,23529352,1731748538.183463
7,12,23529408,1735230134.551088
7,13,23529324,1751797522.007785
7,14,23529408,1826746927.975266
7,15,23529345,1833709728.629123
7,16,23529408,4063596321.776768
7,17,23529394,1131289596.177912
7,18,23529366,888635259.664697
7,19,23529296,1616779540.402456
7,20,23529380,1367800408.146784
7,21,23529408,839295817.051555
7,22,23529352,1037298505.119845
7,23,23529345,777715326.644879
7,24,23529408,1920470458.086048
7,25,23529275,1002354735.8519
7,26,23529324,1187909793.198852
7,27,23529366,989853779.656358
7,28,23529408,1408634574.582282
7,29,23529324,1119830828.255522
7,30,23529240,1313591138.520746
7,31,23529310,1165610859.219385
7,32,23529408,4147028896.858939
8,1,23529408,1189450935.65953
8,2,23529408,1371674269.421657
8,3,23529408,1294560373.703616
8,4,23529408,1324737243.85459
8,5,23529400,1382747664.784412
8,6,23529408,1324940808.33574
8,7,23529408,1353056091.08366
8,8,23529408,1387489103.004734
8,9,23529384,1503210997.450735
8,10,23529360,1622617196.237226
8,11,23529352,1508441303.278187
8,12,23529408,1622143378.245126
8,13,23529376,1566209259.978741
8,14,23529408,1497375814.90916
8,15,23529360,1502918859.208457
8,16,23529344,4066775862.526911
8,17,23529360,617013611.562879
8,18,23529312,799172118.175765
8,19,23529296,645095788.156168
8,20,23529280,1385281440.715832
8,21,23529408,793998005.343666
8,22,23529264,1035671948.423954
8,23,23529368,930251856.619615
8,24,23529408,2158186470.895497
8,25,23529400,968767016.797703
8,26,23529376,1162665159.547635
8,27,23529312,1003425067.990961
8,28,23529408,1686484471.498257
8,29,23529208,777845230.789537
8,30,23529360,1278818327.654865
8,31,23529248,1064279557.057564
8,32,23529216,4151311098.603249
9,1,23529411,1112519006.382457
9,2,23529402,1253928432.329346
9,3,23529393,1367265548.820524
9,4,23529384,1354624281.447756
9,5,23529375,1287821609.685994
9,6,23529366,1536370361.323059
9,7,23529366,1541149364.130042
9,8,23529384,1449959890.570418
9,9,23529366,1574358387.473885
9,10,23529330,1768795953.627053
9,11,23529330,1734295751.225653
9,12,23529312,1537358538.99493
9,13,23529402,1726998279.484555
9,14,23529366,1758188206.091827
9,15,23529285,1694984734.147959
9,16,23529312,4082044757.67892
9,17,23529411,1422734773.447764
9,18,23529366,795751414.190541
9,19,23529258,662039052.136199
9,20,23529240,1313745813.463531
9,21,23529366,713836636.620449
9,22,23529330,956794074.23768
9,23,23529276,799665701.437434
9,24,23529312,1907826111.513402
9,25,23529375,934686012.643988
9,26,23529402,1193065788.313907
9,27,23529204,964350480.607697
9,28,23529240,1717338168.786742
9,29,23529411,1144861103.931449
9,30,23529150,1272658188.173545
9,31,23529186,1170813116.978392
9,32,23529312,4156535155.839429
10,1,23529410,1397756033.605983
10,2,23529400,1467348292.286362
10,3,23529390,1516646693.670055
10,4,23529400,1659244336.850189
10,5,23529400,1569850245.274443
10,6,23529360,1639515775.741827
10,7,23529380,1625060284.82828
10,8,23529360,1773079830.610608
10,9,23529330,1614737892.33214
10,10,23529400,1734114812.554197
10,11,23529330,1691037930.207327
10,12,23529360,1870584855.213297
10,13,23529350,1690320286.119836
10,14,23529380,1735545387.978193
10,15,23529300,1674846690.435273
10,16,23529280,4084058642.423144
10,17,23529360,1354960171.564477
10,18,23529240,809875506.341017
10,19,23529410,656767925.864751
10,20,23529400,1388259579.326469
10,21,23529240,724843895.153814
10,22,23529220,1029923570.873839
10,23,23529230,807597827.323888
10,24,23529360,2123176857.091019
10,25,23529250,904440933.202919
10,26,23529220,1124092414.70891
10,27,23529150,981561471.845355
10,28,23529240,1488605052.841547
10,29,23529150,1122151344.180309
10,30,23529300,1138466609.439105
10,31,23529310,1022816474.639986
10,32,23529280,4155208654.094443
11,1,23529407,1355590925.87351
11,2,23529396,1449226560.843626
11,3,23529396,1469528754.207121
11,4,23529396,1699160792.554517
11,5,23529385,1606841131.35285
11,6,23529396,1643874519.25733
11,7,23529352,1587675633.87297
11,8,23529352,1764328761.750726
11,9,23529330,1617793928.793265
11,10,23529330,1740957276.584054
11,11,23529297,1664346481.254435
11,12,23529396,1856086678.98943
11,13,23529363,1659354796.170754
11,14,23529352,1718813242.29191
11,15,23529330,1699885754.737267
11,16,23529264,4084494761.211765
11,17,23529275,1216357886.964473
