stride,portion,array_size,throughput
14,6,23529408,3077288319.957084
14,7,23529408,3063908205.489548
14,8,23529408,11778314712.010777
14,9,23529240,3226057513.785759
14,10,23528960,3433709291.379427
14,11,23529352,3074908698.758097
14,12,23529408,11920869611.61228
14,13,23528960,3402426890.725819
14,14,23529408,3800372180.126409
14,15,23529240,3698883748.333202
14,16,23528960,10449665173.771364
14,17,23528680,3712439190.117518
14,18,23528736,3864774981.180171
14,19,23529296,3695218220.387465
14,20,23528960,10430719145.794645
14,21,23529408,3676995181.515499
14,22,23528736,3952185115.105119
14,23,23529184,3672851611.832861
14,24,23529408,12014632147.936512
14,25,23528400,3355146249.385896
14,26,23528960,4119436039.896029
14,27,23528232,3275026516.454604
14,28,23529408,12038584492.391512
14,29,23528512,3645006945.697988
14,30,23528400,3275682841.756206
14,31,23528008,3490910174.460467
14,32,23528960,10606381726.774382
15,1,23529360,3076104695.274353
15,2,23529360,3063321571.578154
15,3,23529240,3048957398.153619
15,4,23529360,11736813773.156635
15,5,23529300,3135489240.137784
15,6,23529240,3107081692.478738
15,7,23529240,3270012372.014074
15,8,23529120,10421495176.607138
15,9,23528880,3308010048.745343
15,10,23529000,2709669182.277616
15,11,23529000,3066688762.495942
15,12,23528880,10267495459.330015
15,13,23528700,3591789435.355522
15,14,23529240,3081519176.378373
15,15,23528700,3533607687.388211
15,16,23528640,9790387051.704962
15,17,23529360,3547078650.393487
15,18,23528880,3678256498.589007
15,19,23528460,3524953990.587298
15,20,23528400,9391061058.787012
15,21,23529240,3510316563.188367
15,22,23529000,3316069346.875246
15,23,23529000,3406248671.617192
15,24,23528160,9117058010.065006
15,25,23529000,3221242757.7167
15,26,23527920,4049456974.3735
15,27,23528880,3445389608.755972
15,28,23528400,9554302946.869482
15,29,23528280,3244008693.32974
15,30,23527800,3040869480.737159
15,31,23529000,3263705374.703229
15,32,23527680,8851515100.671703
16,1,23529408,3087263033.620409
16,2,23529344,3044691756.254795
16,3,23529408,3080697666.827571
16,4,23529216,10861734529.056595
16,5,23529280,3134484594.048481
16,6,23529216,3081616325.803073
16,7,23529408,3330979454.085008
16,8,23528960,10109780095.896755
16,9,23529024,3207306071.049001
16,10,23528960,3342111738.427707
16,11,23529088,3007759944.316846
16,12,23529216,11312689032.881887
16,13,23528960,3250687830.25855
16,14,23528960,3629257357.757777
16,15,23528640,3429011832.484506
16,16,23528448,9679821500.973343
16,17,23529088,3533162860.642943
16,18,23528448,3450602329.827708
16,19,23528384,3257088334.266709
16,20,23528960,10739218100.630856
16,21,23529408,3556952088.148702
16,22,23529088,3342584982.046375
16,23,23528448,3288792995.702228
16,24,23528448,9804785988.479378
16,25,23528000,3013957141.312116
16,26,23528960,3821477254.494845
16,27,23528448,3263149795.220777
16,28,23528960,10869203993.053886
16,29,23528512,2971842669.341342
16,30,23527680,3141801122.978927
16,31,23528256,3115977297.523249
16,32,23527424,8916856623.236889
17,1,23529360,3018020684.612188
17,2,23529360,3003819696.796526
17,3,23529360,2997852030.648482
17,4,23529360,9371083228.518082
17,5,23529360,3083193494.243675
17,6,23529360,3045950916.605924
17,7,23529156,3254565928.649041
17,8,23529088,9456271286.757729
17,9,23528952,3244242627.413043
17,10,23529360,3471328789.206093
17,11,23529088,3292785045.269459
17,12,23529360,9706365173.921179
17,13,23528544,3313885327.361102
17,14,23528680,3122360541.724123
17,15,23529360,3594885810.963312
17,16,23529088,9945948510.707384
17,17,23529224,3647122470.051979
17,18,23528952,3537605700.345546
17,19,23528612,3625448356.490862
17,20,23529360,10132221529.12414
17,21,23529156,3650138865.608618
17,22,23529088,3898936305.741208
17,23,23528816,3641080306.725925
17,24,23528544,9583645942.898718
